id;group;task;text;condition;time;timeTra;perceivedDifficulty
CU2;Mul;Translating;Text1;ELF;Second;TraFirst;5.45
CU2;Mul;Translating;Text2;SE;First;TraFirst;4.8
CU3;Mul;Reading;Text1;SE;Second;;5.8
CU3;Mul;Reading;Text2;ELF;First;;9.75
CU3;Mul;Translating;Text1;SE;Second;TraSecond;5.95
CU3;Mul;Translating;Text2;ELF;First;TraFirst;8.55
CU4;Mul;Reading;Text1;ELF;Second;;3.8
CU4;Mul;Reading;Text2;SE;First;;1.6
CU4;Mul;Translating;Text1;ELF;Second;TraFirst;3.25
CU4;Mul;Translating;Text2;SE;First;TraFirst;4.65
CU5;Mul;Reading;Text1;ELF;Second;;3.9
CU5;Mul;Reading;Text2;SE;First;;2.65
CU5;Mul;Translating;Text1;ELF;Second;TraSecond;3.6
CU5;Mul;Translating;Text2;SE;First;TraSecond;3.5
