id;group;text;condition;time;question;correct
CE2;TraStu;Text1;ELF;Second;Question2;0
CE2;TraStu;Text1;ELF;Second;Question3;0
CE2;TraStu;Text1;ELF;Second;Question4;0
CE2;TraStu;Text1;ELF;Second;Question5;1
CE2;TraStu;Text2;SE;First;Question1;1
CE2;TraStu;Text2;SE;First;Question2;1
CE2;TraStu;Text2;SE;First;Question3;0
CE2;TraStu;Text2;SE;First;Question4;0
CE2;TraStu;Text2;SE;First;Question5;0
CE3;TraStu;Text1;SE;First;Question1;1
CE3;TraStu;Text1;SE;First;Question2;1
CE3;TraStu;Text1;SE;First;Question3;0
CE3;TraStu;Text1;SE;First;Question4;0
CE3;TraStu;Text1;SE;First;Question5;1
CE3;TraStu;Text2;ELF;Second;Question1;0
CE3;TraStu;Text2;ELF;Second;Question2;0
CE3;TraStu;Text2;ELF;Second;Question3;1
CE3;TraStu;Text2;ELF;Second;Question4;1
CE3;TraStu;Text2;ELF;Second;Question5;0
CE4;TraStu;Text1;ELF;Second;Question1;1
CE4;TraStu;Text1;ELF;Second;Question2;1
CE4;TraStu;Text1;ELF;Second;Question3;0
CE4;TraStu;Text1;ELF;Second;Question4;1
CE4;TraStu;Text1;ELF;Second;Question5;1
CE4;TraStu;Text2;SE;First;Question1;0
CE4;TraStu;Text2;SE;First;Question2;1
CE4;TraStu;Text2;SE;First;Question3;1
CE4;TraStu;Text2;SE;First;Question4;0
CE4;TraStu;Text2;SE;First;Question5;1
CE5;TraStu;Text1;ELF;Second;Question1;1
CE5;TraStu;Text1;ELF;Second;Question2;0
CE5;TraStu;Text1;ELF;Second;Question3;1
CE5;TraStu;Text1;ELF;Second;Question4;1
CE5;TraStu;Text1;ELF;Second;Question5;1
CE5;TraStu;Text2;SE;First;Question1;0
CE5;TraStu;Text2;SE;First;Question2;1
CE5;TraStu;Text2;SE;First;Question3;1
CE5;TraStu;Text2;SE;First;Question4;1
CE5;TraStu;Text2;SE;First;Question5;1
CE6;TraStu;Text1;ELF;First;Question1;0
CE6;TraStu;Text1;ELF;First;Question2;1
CE6;TraStu;Text1;ELF;First;Question3;0
CE6;TraStu;Text1;ELF;First;Question4;1
CE6;TraStu;Text1;ELF;First;Question5;1
CE6;TraStu;Text2;SE;Second;Question1;0
CE6;TraStu;Text2;SE;Second;Question2;1
CE6;TraStu;Text2;SE;Second;Question3;1
CE6;TraStu;Text2;SE;Second;Question4;1
CE6;TraStu;Text2;SE;Second;Question5;1
CE7;TraStu;Text1;ELF;Second;Question1;1
CE7;TraStu;Text1;ELF;Second;Question2;1
CE7;TraStu;Text1;ELF;Second;Question3;0
CE7;TraStu;Text1;ELF;Second;Question4;1
CE7;TraStu;Text1;ELF;Second;Question5;1
CE7;TraStu;Text2;SE;First;Question1;1
CE7;TraStu;Text2;SE;First;Question2;1
CE7;TraStu;Text2;SE;First;Question3;1
CE7;TraStu;Text2;SE;First;Question4;1
CE7;TraStu;Text2;SE;First;Question5;0
CE8;TraStu;Text1;SE;First;Question1;1
CE8;TraStu;Text1;SE;First;Question2;1
CE8;TraStu;Text1;SE;First;Question3;0
CE8;TraStu;Text1;SE;First;Question4;1
CE8;TraStu;Text1;SE;First;Question5;1
CE8;TraStu;Text2;ELF;Second;Question1;1
CE8;TraStu;Text2;ELF;Second;Question2;1
CE8;TraStu;Text2;ELF;Second;Question3;1
CE8;TraStu;Text2;ELF;Second;Question4;0
CE8;TraStu;Text2;ELF;Second;Question5;1
CE9;TraStu;Text1;ELF;Second;Question1;1
CE9;TraStu;Text1;ELF;Second;Question2;1
CE9;TraStu;Text1;ELF;Second;Question3;1
CE9;TraStu;Text1;ELF;Second;Question4;1
CE9;TraStu;Text1;ELF;Second;Question5;1
CE9;TraStu;Text2;SE;First;Question1;0
CE9;TraStu;Text2;SE;First;Question2;1
CE9;TraStu;Text2;SE;First;Question3;1
CE9;TraStu;Text2;SE;First;Question4;1
CE9;TraStu;Text2;SE;First;Question5;0
CF0;TraStu;Text1;ELF;First;Question1;1
CF0;TraStu;Text1;ELF;First;Question2;0
CF0;TraStu;Text1;ELF;First;Question3;0
CF0;TraStu;Text1;ELF;First;Question4;1
CF0;TraStu;Text1;ELF;First;Question5;1
CF0;TraStu;Text2;SE;Second;Question1;1
CF0;TraStu;Text2;SE;Second;Question2;1
CF0;TraStu;Text2;SE;Second;Question3;0
CF0;TraStu;Text2;SE;Second;Question4;1
CF0;TraStu;Text2;SE;Second;Question5;1
CF1;TraStu;Text1;ELF;Second;Question1;0
CF1;TraStu;Text1;ELF;Second;Question2;1
CF1;TraStu;Text1;ELF;Second;Question3;1
CF1;TraStu;Text1;ELF;Second;Question4;1
CF1;TraStu;Text1;ELF;Second;Question5;1
CF1;TraStu;Text2;SE;First;Question1;0
CF1;TraStu;Text2;SE;First;Question2;1
CF1;TraStu;Text2;SE;First;Question3;1
CF1;TraStu;Text2;SE;First;Question4;1
CF1;TraStu;Text2;SE;First;Question5;0
CF2;TraStu;Text1;SE;First;Question1;0
CF2;TraStu;Text1;SE;First;Question2;1
CF2;TraStu;Text1;SE;First;Question3;0
CF2;TraStu;Text1;SE;First;Question4;1
CF2;TraStu;Text1;SE;First;Question5;1
CF2;TraStu;Text2;ELF;Second;Question1;0
CF2;TraStu;Text2;ELF;Second;Question2;1
CF2;TraStu;Text2;ELF;Second;Question3;1
CF2;TraStu;Text2;ELF;Second;Question4;1
CF2;TraStu;Text2;ELF;Second;Question5;1
CF4;TraStu;Text1;ELF;First;Question1;1
CF4;TraStu;Text1;ELF;First;Question2;0
CF4;TraStu;Text1;ELF;First;Question3;1
CF4;TraStu;Text1;ELF;First;Question4;0
CF4;TraStu;Text1;ELF;First;Question5;1
CF4;TraStu;Text2;SE;Second;Question1;1
CF4;TraStu;Text2;SE;Second;Question2;1
CF4;TraStu;Text2;SE;Second;Question3;1
CF4;TraStu;Text2;SE;Second;Question4;1
CF4;TraStu;Text2;SE;Second;Question5;1
CF5;TraStu;Text1;ELF;Second;Question1;1
CF5;TraStu;Text1;ELF;Second;Question2;0
CF5;TraStu;Text1;ELF;Second;Question3;0
CF5;TraStu;Text1;ELF;Second;Question4;1
CF5;TraStu;Text1;ELF;Second;Question5;1
CF5;TraStu;Text2;SE;First;Question1;1
CF5;TraStu;Text2;SE;First;Question2;1
CF5;TraStu;Text2;SE;First;Question3;0
CF5;TraStu;Text2;SE;First;Question4;0
CF5;TraStu;Text2;SE;First;Question5;0
CI0;TraPro;Text1;ELF;Second;Question1;1
CI0;TraPro;Text1;ELF;Second;Question2;0
CI0;TraPro;Text1;ELF;Second;Question3;1
CI0;TraPro;Text1;ELF;Second;Question4;1
CI0;TraPro;Text1;ELF;Second;Question5;1
