id;group;text;condition;time;question;correct
CM9;Mul;Text2;ELF;First;Question1;0
CM9;Mul;Text2;ELF;First;Question2;1
CM9;Mul;Text2;ELF;First;Question3;1
CM9;Mul;Text2;ELF;First;Question4;1
CM9;Mul;Text2;ELF;First;Question5;1
CN0;Mul;Text1;SE;First;Question1;1
CN0;Mul;Text1;SE;First;Question2;1
CN0;Mul;Text1;SE;First;Question3;1
CN0;Mul;Text1;SE;First;Question4;0
CN0;Mul;Text1;SE;First;Question5;1
CN0;Mul;Text2;ELF;Second;Question1;0
CN0;Mul;Text2;ELF;Second;Question2;1
CN0;Mul;Text2;ELF;Second;Question3;1
CN0;Mul;Text2;ELF;Second;Question4;1
CN0;Mul;Text2;ELF;Second;Question5;1
CN1;Mul;Text1;SE;First;Question1;1
CN1;Mul;Text1;SE;First;Question2;0
CN1;Mul;Text1;SE;First;Question3;1
CN1;Mul;Text1;SE;First;Question4;0
CN1;Mul;Text1;SE;First;Question5;1
CN1;Mul;Text2;ELF;Second;Question1;1
CN1;Mul;Text2;ELF;Second;Question2;1
CN1;Mul;Text2;ELF;Second;Question3;1
CN1;Mul;Text2;ELF;Second;Question4;1
CN1;Mul;Text2;ELF;Second;Question5;1
CN2;Mul;Text1;SE;Second;Question1;1
CN2;Mul;Text1;SE;Second;Question2;1
CN2;Mul;Text1;SE;Second;Question3;1
CN2;Mul;Text1;SE;Second;Question4;1
CN2;Mul;Text1;SE;Second;Question5;1
CN2;Mul;Text2;ELF;First;Question1;0
CN2;Mul;Text2;ELF;First;Question2;1
CN2;Mul;Text2;ELF;First;Question3;1
CN2;Mul;Text2;ELF;First;Question4;0
CN2;Mul;Text2;ELF;First;Question5;1
CN3;Mul;Text1;SE;Second;Question1;1
CN3;Mul;Text1;SE;Second;Question2;0
CN3;Mul;Text1;SE;Second;Question3;1
CN3;Mul;Text1;SE;Second;Question4;1
CN3;Mul;Text1;SE;Second;Question5;0
CN3;Mul;Text2;ELF;First;Question1;1
CN3;Mul;Text2;ELF;First;Question2;0
CN3;Mul;Text2;ELF;First;Question3;0
CN3;Mul;Text2;ELF;First;Question4;0
CN3;Mul;Text2;ELF;First;Question5;1
CN4;Mul;Text1;ELF;First;Question1;1
CN4;Mul;Text1;ELF;First;Question2;0
CN4;Mul;Text1;ELF;First;Question3;1
CN4;Mul;Text1;ELF;First;Question4;1
CN4;Mul;Text1;ELF;First;Question5;1
CN4;Mul;Text2;SE;Second;Question1;0
CN4;Mul;Text2;SE;Second;Question2;1
CN4;Mul;Text2;SE;Second;Question3;0
CN4;Mul;Text2;SE;Second;Question4;1
CN4;Mul;Text2;SE;Second;Question5;1
CN5;Mul;Text1;SE;First;Question1;1
CN5;Mul;Text1;SE;First;Question2;0
CN5;Mul;Text1;SE;First;Question3;1
CN5;Mul;Text1;SE;First;Question4;1
CN5;Mul;Text1;SE;First;Question5;1
CN5;Mul;Text2;ELF;Second;Question1;0
CN5;Mul;Text2;ELF;Second;Question2;1
CN5;Mul;Text2;ELF;Second;Question3;1
CN5;Mul;Text2;ELF;Second;Question4;1
CN5;Mul;Text2;ELF;Second;Question5;1
CN6;Mul;Text1;SE;First;Question1;1
CN6;Mul;Text1;SE;First;Question2;0
CN6;Mul;Text1;SE;First;Question3;0
CN6;Mul;Text1;SE;First;Question4;0
CN6;Mul;Text1;SE;First;Question5;1
CN6;Mul;Text2;ELF;Second;Question1;0
CN6;Mul;Text2;ELF;Second;Question2;0
CN6;Mul;Text2;ELF;Second;Question3;0
CN6;Mul;Text2;ELF;Second;Question4;0
CN6;Mul;Text2;ELF;Second;Question5;0
CQ0;Mul;Text1;SE;Second;Question1;1
CQ0;Mul;Text1;SE;Second;Question2;1
CQ0;Mul;Text1;SE;Second;Question3;1
CQ0;Mul;Text1;SE;Second;Question4;0
CQ0;Mul;Text1;SE;Second;Question5;1
CQ0;Mul;Text2;ELF;First;Question1;0
CQ0;Mul;Text2;ELF;First;Question2;1
CQ0;Mul;Text2;ELF;First;Question3;1
CQ0;Mul;Text2;ELF;First;Question4;1
CQ0;Mul;Text2;ELF;First;Question5;1
CU0;Mul;Text1;ELF;Second;Question1;1
CU0;Mul;Text1;ELF;Second;Question2;1
CU0;Mul;Text1;ELF;Second;Question3;0
CU0;Mul;Text1;ELF;Second;Question4;0
CU0;Mul;Text1;ELF;Second;Question5;1
CU0;Mul;Text2;SE;First;Question1;0
CU0;Mul;Text2;SE;First;Question2;0
CU0;Mul;Text2;SE;First;Question3;1
CU0;Mul;Text2;SE;First;Question4;0
CU0;Mul;Text2;SE;First;Question5;0
CU1;Mul;Text1;ELF;Second;Question1;1
CU1;Mul;Text1;ELF;Second;Question2;1
CU1;Mul;Text1;ELF;Second;Question3;1
CU1;Mul;Text1;ELF;Second;Question4;0
CU1;Mul;Text1;ELF;Second;Question5;1
CU1;Mul;Text2;SE;First;Question1;0
CU1;Mul;Text2;SE;First;Question2;1
CU1;Mul;Text2;SE;First;Question3;1
CU1;Mul;Text2;SE;First;Question4;0
CU1;Mul;Text2;SE;First;Question5;0
CU2;Mul;Text1;ELF;Second;Question1;1
CU2;Mul;Text1;ELF;Second;Question2;0
CU2;Mul;Text1;ELF;Second;Question3;0
CU2;Mul;Text1;ELF;Second;Question4;1
CU2;Mul;Text1;ELF;Second;Question5;1
CU2;Mul;Text2;SE;First;Question1;0
CU2;Mul;Text2;SE;First;Question2;1
CU2;Mul;Text2;SE;First;Question3;1
CU2;Mul;Text2;SE;First;Question4;1
CU2;Mul;Text2;SE;First;Question5;1
CU3;Mul;Text1;SE;Second;Question1;1
CU3;Mul;Text1;SE;Second;Question2;0
CU3;Mul;Text1;SE;Second;Question3;0
CU3;Mul;Text1;SE;Second;Question4;1
CU3;Mul;Text1;SE;Second;Question5;1
CU3;Mul;Text2;ELF;First;Question1;1
CU3;Mul;Text2;ELF;First;Question2;1
CU3;Mul;Text2;ELF;First;Question3;0
CU3;Mul;Text2;ELF;First;Question4;0
CU3;Mul;Text2;ELF;First;Question5;1
CU4;Mul;Text1;ELF;Second;Question1;1
CU4;Mul;Text1;ELF;Second;Question2;0
CU4;Mul;Text1;ELF;Second;Question3;0
CU4;Mul;Text1;ELF;Second;Question4;1
CU4;Mul;Text1;ELF;Second;Question5;1
CU4;Mul;Text2;SE;First;Question1;1
CU4;Mul;Text2;SE;First;Question2;1
CU4;Mul;Text2;SE;First;Question3;1
CU4;Mul;Text2;SE;First;Question4;1
CU4;Mul;Text2;SE;First;Question5;1
CU5;Mul;Text1;ELF;Second;Question1;1
CU5;Mul;Text1;ELF;Second;Question2;1
CU5;Mul;Text1;ELF;Second;Question3;0
CU5;Mul;Text1;ELF;Second;Question4;0
CU5;Mul;Text1;ELF;Second;Question5;1
CU5;Mul;Text2;SE;First;Question1;0
CU5;Mul;Text2;SE;First;Question2;1
CU5;Mul;Text2;SE;First;Question3;0
CU5;Mul;Text2;SE;First;Question4;1
CU5;Mul;Text2;SE;First;Question5;0
