id;group;text;condition;time;sumReadingDuration;avgReadingDuration
CM2;Mul;Text1;ELF;First;567.9656425;14.94646428
CM2;Mul;Text2;EdE;Second;325.1554968;11.61269632
CM3;Mul;Text1;ELF;Second;423.1053548;11.13435144
CM3;Mul;Text2;EdE;First;395.2621696;14.11650606
CM4;Mul;Text1;EdE;First;444.2574503;11.69098554
CM4;Mul;Text2;ELF;Second;339.259099;13.04842688
CM5;Mul;Text1;EdE;Second;366.4859684;9.644367588
CM5;Mul;Text2;ELF;First;354.2926996;13.62664229
CM6;Mul;Text1;ELF;First;278.4360745;7.327265118
CM6;Mul;Text2;EdE;Second;252.7284517;9.026016133
CM7;Mul;Text1;ELF;Second;265.0591609;6.975241078
CM7;Mul;Text2;EdE;First;398.6222105;14.23650752
CM8;Mul;Text1;ELF;First;602.342175;15.85110987
CM8;Mul;Text2;EdE;Second;338.2396948;12.0799891
CM9;Mul;Text1;EdE;Second;328.5575726;8.646251911
CM9;Mul;Text2;ELF;First;441.9515896;16.99813806
CN0;Mul;Text1;EdE;First;789.688611;20.78127924
CN0;Mul;Text2;ELF;Second;567.0103009;21.8080885
CN1;Mul;Text1;EdE;First;478.544358;12.59327258
CN1;Mul;Text2;ELF;Second;457.0232296;17.57781652
CN2;Mul;Text1;EdE;Second;533.0945134;14.02880298
CN2;Mul;Text2;ELF;First;529.9769237;20.38372783
CN3;Mul;Text1;EdE;Second;398.2104027;10.47922112
CN3;Mul;Text2;ELF;First;508.0443611;19.54016774
CN4;Mul;Text1;ELF;First;679.7990162;17.8894478
CN4;Mul;Text2;EdE;Second;359.6585059;12.84494664
CN5;Mul;Text1;EdE;First;471.1934655;12.39982804
CN5;Mul;Text2;ELF;Second;302.5073049;11.63489634
CN6;Mul;Text1;EdE;First;242.4611733;6.380557192
CN6;Mul;Text2;ELF;Second;175.2377441;6.739913234
CQ0;Mul;Text1;EdE;Second;358.7470195;9.44071104
CQ0;Mul;Text2;ELF;First;311.8467705;11.99410656
CU0;Mul;Text1;ELF;Second;295.6314561;7.779775161
CU0;Mul;Text2;EdE;First;260.2549503;9.294819653
CU1;Mul;Text1;ELF;Second;675.6011162;17.77897674
CU1;Mul;Text2;EdE;First;547.6563313;19.55915469
CU2;Mul;Text1;ELF;Second;231.3682392;6.088637873
CU2;Mul;Text2;EdE;First;264.947829;9.462422465
CU3;Mul;Text1;EdE;Second;333.4749806;8.775657384
CU3;Mul;Text2;ELF;First;412.18186;15.85314846
CU4;Mul;Text1;ELF;Second;372.9753938;9.815141941
CU4;Mul;Text2;EdE;First;592.1430895;21.14796748
CU5;Mul;Text1;ELF;Second;387.7017343;10.20267722
CU5;Mul;Text2;EdE;First;350.2925832;12.5104494
