id;group;task;timeTra;text;condition;time;sentences;chars;charsTotal;charsErrors
C00;Pilot;Translating;TraSecond;Text1;ELF;Second;5;612;827;86
C00;Pilot;Translating;TraSecond;Text2;SE;First;3;485;788;131
C00;Pilot;Copying;TraSecond;Text1;ELF;Second;11;1671;1832;59
C00;Pilot;Copying;TraSecond;Text2;SE;Second;9;1427;1679;91
C21;Pilot;Translating;TraSecond;Text1;SE;Second;4;707;852;47
C21;Pilot;Translating;TraSecond;Text2;ELF;First;4;492;677;71
C21;Pilot;Copying;TraSecond;Text1;SE;Second;6;962;1031;28
C21;Pilot;Copying;TraSecond;Text2;ELF;Second;4;851;971;36
C22;Pilot;Translating;TraFirst;Text1;ELF;Second;4;501;750;108
C22;Pilot;Translating;TraSecond;Text2;SE;First;2;280;630;157
C22;Pilot;Copying;TraFirst;Text1;ELF;Second;8;1165;1292;47
C22;Pilot;Copying;TraSecond;Text2;SE;Second;3;509;668;69
C23;Pilot;Translating;TraFirst;Text1;SE;Second;4;570;793;95
C23;Pilot;Translating;TraSecond;Text2;ELF;First;4;479;646;63
C23;Pilot;Copying;TraFirst;Text1;SE;Second;7;1096;1279;81
C23;Pilot;Copying;TraSecond;Text2;ELF;Second;4;778;945;58
C24;Pilot;Translating;TraFirst;Text1;SE;Second;2;252;388;62
C24;Pilot;Translating;TraFirst;Text2;ELF;First;2;228;301;31
C24;Pilot;Copying;TraFirst;Text1;SE;Second;3;349;395;17
C24;Pilot;Copying;TraFirst;Text2;ELF;Second;1;370;418;14
C25;Pilot;Translating;TraFirst;Text1;ELF;First;4;644;756;41
C25;Pilot;Translating;TraFirst;Text2;SE;Second;4;574;800;85
C25;Pilot;Copying;TraFirst;Text1;ELF;First;5;793;926;57
C25;Pilot;Copying;TraFirst;Text2;SE;First;5;687;888;89
C26;Pilot;Translating;TraFirst;Text1;SE;Second;4;556;633;25
C26;Pilot;Translating;TraSecond;Text2;ELF;First;4;542;612;16
C26;Pilot;Copying;TraFirst;Text1;SE;Second;4;615;713;46
C26;Pilot;Copying;TraSecond;Text2;ELF;Second;4;562;664;36
CE0;TraMa;Translating;TraSecond;Text1;ELF;First;4;511;863;157
CE0;TraMa;Translating;TraFirst;Text2;SE;Second;4;560;924;158
CE0;TraMa;Copying;TraSecond;Text1;ELF;First;9;1446;1774;147
CE0;TraMa;Copying;TraFirst;Text2;SE;First;9;1489;1798;127
