id;group;task;timeTra;text;condition;time;sentences;chars;charsTotal;charsErrors
CE1;TraMa;Translating;TraFirst;Text1;ELF;Second;4;541;751;91
CE1;TraMa;Translating;TraSecond;Text2;SE;First;4;549;745;78
CE1;TraMa;Copying;TraFirst;Text1;ELF;Second;7;1017;1210;81
CE1;TraMa;Copying;TraSecond;Text2;SE;Second;5;870;1140;113
CE2;TraMa;Translating;TraSecond;Text1;ELF;Second;5;515;893;162
CE2;TraMa;Translating;TraFirst;Text2;SE;First;3;386;897;229
CE2;TraMa;Copying;TraSecond;Text1;ELF;Second;8;1251;1511;121
CE2;TraMa;Copying;TraFirst;Text2;SE;Second;7;1122;1453;138
CE3;TraMa;Translating;TraSecond;Text1;SE;First;4;594;761;61
CE3;TraMa;Translating;TraFirst;Text2;ELF;Second;3;516;652;44
CE3;TraMa;Copying;TraSecond;Text1;SE;First;7;1088;1196;45
CE3;TraMa;Copying;TraFirst;Text2;ELF;First;6;1010;1199;72
CE4;TraMa;Translating;TraSecond;Text1;ELF;Second;2;335;485;55
CE4;TraMa;Translating;TraFirst;Text2;SE;First;2;316;495;75
CE4;TraMa;Copying;TraSecond;Text1;ELF;Second;7;1085;1250;76
CE4;TraMa;Copying;TraFirst;Text2;SE;Second;5;853;1041;71
CE5;TraMa;Translating;TraSecond;Text1;ELF;Second;3;480;680;74
CE5;TraMa;Translating;TraSecond;Text2;SE;First;4;536;782;100
CE5;TraMa;Copying;TraSecond;Text1;ELF;Second;7;1117;1408;140
CE5;TraMa;Copying;TraSecond;Text2;SE;Second;6;1008;1296;119
CE6;TraMa;Translating;TraSecond;Text1;ELF;First;4;499;736;94
CE6;TraMa;Translating;TraSecond;Text2;SE;Second;4;697;850;53
CE6;TraMa;Copying;TraSecond;Text1;ELF;First;8;1196;1318;55
CE6;TraMa;Copying;TraSecond;Text2;SE;First;6;984;1181;72
CE7;TraMa;Translating;TraFirst;Text1;ELF;Second;6;1022;1182;49
CE7;TraMa;Translating;TraSecond;Text2;SE;First;5;1085;1220;40
CE7;TraMa;Copying;TraFirst;Text1;ELF;Second;11;1513;1634;36
CE7;TraMa;Copying;TraSecond;Text2;SE;Second;7;1202;1359;56
CE8;TraMa;Translating;TraFirst;Text1;SE;First;2;189;449;122
CE8;TraMa;Translating;TraFirst;Text2;ELF;Second;3;558;802;100
CE8;TraMa;Copying;TraFirst;Text1;SE;First;6;985;1126;64
CE8;TraMa;Copying;TraFirst;Text2;ELF;First;7;1063;1161;28
CI0;TraPro;Translating;TraSecond;Text1;ELF;Second;8;964;1298;136
CI0;TraPro;Translating;TraFirst;Text2;SE;First;3;376;529;61
CI0;TraPro;Copying;TraSecond;Text1;ELF;Second;9;1494;1769;123
CI0;TraPro;Copying;TraFirst;Text2;SE;Second;9;1509;1760;97
CI1;TraPro;Translating;TraFirst;Text1;ELF;Second;2;285;663;170
CI1;TraPro;Translating;TraSecond;Text2;SE;First;2;362;553;78
CI1;TraPro;Copying;TraFirst;Text1;ELF;Second;7;1122;1213;33
CI1;TraPro;Copying;TraSecond;Text2;SE;Second;3;531;1009;217
CI2;TraPro;Translating;TraFirst;Text1;SE;Second;4;579;828;107
CI2;TraPro;Translating;TraFirst;Text2;ELF;First;4;514;752;97
CI2;TraPro;Copying;TraFirst;Text1;SE;Second;9;1205;1446;106
CI2;TraPro;Copying;TraFirst;Text2;ELF;Second;7;1288;1590;128
CI3;TraPro;Translating;TraSecond;Text1;SE;Second;5;681;1040;152
CI3;TraPro;Translating;TraFirst;Text2;ELF;First;4;567;879;136
CI3;TraPro;Copying;TraSecond;Text1;SE;Second;7;1146;1309;75
CI3;TraPro;Copying;TraFirst;Text2;ELF;Second;6;1014;1174;62
CI4;TraPro;Translating;TraSecond;Text1;ELF;Second;3;403;602;81
CI4;TraPro;Translating;TraSecond;Text2;SE;First;4;562;688;43
CI4;TraPro;Copying;TraSecond;Text1;ELF;Second;8;1147;1236;37
CI4;TraPro;Copying;TraSecond;Text2;SE;Second;6;1040;1129;22
CM0;MulBa;Translating;TraFirst;Text1;SE;Second;5;755;944;72
CM0;MulBa;Translating;TraSecond;Text2;ELF;First;4;809;986;66
CM0;MulBa;Copying;TraFirst;Text1;SE;Second;11;1471;1660;80
CM0;MulBa;Copying;TraSecond;Text2;ELF;Second;6;1089;1251;49
CM1;MulBa;Translating;TraSecond;Text1;SE;First;5;708;1044;139
CM1;MulBa;Translating;TraFirst;Text2;ELF;Second;4;757;1028;103
CM1;MulBa;Copying;TraSecond;Text1;SE;First;7;1175;1426;119
CM1;MulBa;Copying;TraFirst;Text2;ELF;First;7;1216;1618;170
CQ0;MulMa;Translating;TraFirst;Text1;SE;Second;2;463;530;24
CQ0;MulMa;Translating;TraSecond;Text2;ELF;First;4;577;644;14
CQ0;MulMa;Copying;TraFirst;Text1;SE;Second;3;491;676;81
CQ0;MulMa;Copying;TraSecond;Text2;ELF;Second;4;595;784;75
CU0;MulPro;Translating;TraFirst;Text1;ELF;Second;4;662;910;101
CU0;MulPro;Translating;TraFirst;Text2;SE;First;4;580;953;162
CU0;MulPro;Copying;TraFirst;Text1;ELF;Second;9;1167;1419;108
CU0;MulPro;Copying;TraFirst;Text2;SE;Second;7;1105;1322;91
CU1;MulPro;Translating;TraFirst;Text1;ELF;Second;2;368;445;29
CU1;MulPro;Translating;TraSecond;Text2;SE;First;2;287;336;16
CU1;MulPro;Copying;TraFirst;Text1;ELF;Second;5;698;741;17
CU1;MulPro;Copying;TraSecond;Text2;SE;Second;3;453;564;45
CU2;MulPro;Translating;TraFirst;Text1;ELF;Second;6;841;1002;59
CU2;MulPro;Translating;TraFirst;Text2;SE;First;3;525;677;58
CU2;MulPro;Copying;TraFirst;Text1;ELF;Second;11;1564;1739;67
CU2;MulPro;Copying;TraFirst;Text2;SE;Second;9;1458;1680;82
CU3;MulPro;Translating;TraSecond;Text1;SE;Second;4;485;795;137
CU3;MulPro;Translating;TraFirst;Text2;ELF;First;4;540;814;116
CU3;MulPro;Copying;TraSecond;Text1;SE;Second;9;1423;1598;77
CU3;MulPro;Copying;TraFirst;Text2;ELF;Second;8;1474;1723;95
CU4;MulPro;Translating;TraFirst;Text1;ELF;Second;4;561;891;146
CU4;MulPro;Translating;TraFirst;Text2;SE;First;4;596;951;157
CU4;MulPro;Copying;TraFirst;Text1;ELF;Second;11;1589;1802;81
CU4;MulPro;Copying;TraFirst;Text2;SE;Second;9;1595;1789;74
CU5;MulPro;Translating;TraSecond;Text1;ELF;Second;4;593;757;54
CU5;MulPro;Translating;TraSecond;Text2;SE;First;5;611;709;29
CU5;MulPro;Copying;TraSecond;Text1;ELF;Second;7;1033;1142;49
CU5;MulPro;Copying;TraSecond;Text2;SE;Second;4;597;711;41
